Name,Release Date,Rating,Genre(s),Platform(s),Theme(s),Keyword(s),Developer(s),Player Perspective,Game Mode(s)
Match Shot Chimera,2025-09-24,,"Shooter, Puzzle, Arcade","Linux, PC (Microsoft Windows), Mac",Action,"match 3, shmup, bullet hell, arcade shooter, steam cloud, roguelite",Floating Island Games,Bird view / Isometric,Single player
Triumvora,2025-09-24,,"Role-playing (RPG), Simulator, Hack and slash/Beat 'em up, Indie",PC (Microsoft Windows),"Action, Survival","post-apocalyptic, physics, procedural generation, animal protagonist, nature, surreal, roguelite, nextfest june 2025",Bliss by Bits,Third person,Single player
The Spiral,2025-09-24,,"Adventure, Indie","Linux, PC (Microsoft Windows)","Action, Fantasy","roguelike, dungeon crawler, steam achievements, steam cloud, controller support, dungeon, nextfest february 2025",The New Bit,First person,Single player
Sworn,2025-09-23,76.9,"Role-playing (RPG), Adventure, Indie","Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Action, Fantasy, Historical","king arthur, roguelike, mythology, 4 player co-op, camelot, merlin, grail","Windwalk Games, Team17 Digital",Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Granvir,2025-09-23,,"Shooter, Turn-based strategy (TBS), Indie","Linux, PC (Microsoft Windows)","Action, Science fiction","mech, 3d, 2d, squad based, resource management, swordplay, mission based, campaign, building, dynamic world, upgrade, demo, atmospheric, combat, economy, melee combat, scavenging, team-based, builder, unlockable items, nostalgia, pilot, time management, co-op campaign, explosion, customization, world map, shopping, upgradeable weapons, loot gathering, gun, unlockables, vehicle customization, melee, level select map, difficulty level, squad, guerilla warfare, squad based shooter, optional objective, minimalistic graphics, teamwork, roguelite, action combat, sword fighting, sword fight, free demo, looter, looter shooter, multiple routes, customize, solo mode, prologue, extraction, ranged combat, cannon, extraction shooter, loot, time, mechs, upgrades, spear, scythe, repair, flame thrower, rocket","Airborne Games, GIGATANK 3000",Third person,"Single player, Multiplayer, Co-operative"
Stash: A Card Looter,2025-09-22,,"Strategy, Card & Board Game",PC (Microsoft Windows),Fantasy,"card based combat, roguelite, looter, autobattler",WheeGaming,Auditory,"Single player, Multiplayer"
Deadly Days: Roadtrip,2025-09-22,,"Hack and slash/Beat 'em up, Indie",PC (Microsoft Windows),"Action, Survival","roguelike, inventory management, roguelite, zombie apocalypse, roadtrip, action roguelike, nextfest june 2025",Pixelsplit,Bird view / Isometric,Single player
Northwind,2025-09-22,,"Strategy, Turn-based strategy (TBS), Indie, Card & Board Game",PC (Microsoft Windows),Fantasy,"2d, roguelike, roguelite, collecting card game - ccg, deck-building, roguelike deckbuilder, ai-generated concepts",Barking Kitten Interactive,Side view,Single player
Towa and the Guardians of the Sacred Tree: Deluxe Edition,2025-09-19,,"Role-playing (RPG), Adventure","Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Nintendo Switch",Action,roguelite,"Bandai Namco Entertainment, Brownies",Bird view / Isometric,"Single player, Multiplayer, Co-operative, Split screen"
Lighthouse of the Souls,2025-09-19,,Indie,PC (Microsoft Windows),Action,"supernatural, roguelite",,Third person,"Single player, Multiplayer, Co-operative"
Folly Of The Wizards,2025-09-19,,"Platform, Adventure, Indie","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Action, Fantasy","wizards, magic, roguelike, dungeon crawler, action roguelike","Numskull Games, Pocket Sized Hands",,Single player
"Don't Die, Collect Loot",2025-09-19,,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure",PC (Microsoft Windows),Action,"bullet hell, roguelite",indie.io,Bird view / Isometric,Single player
Megabonk,2025-09-18,80.9,Indie,"Linux, PC (Microsoft Windows)","Action, Survival","monsters, knights, retro, sword, 3d, insects, resource management, giant monsters, skeleton, leveling, achievements, upgrade, fox, giant insects, low-poly, unlockable items, memes, global leaderboards, boss fight, steam achievements, timer, xbox controller support for pc, steam cloud, steam leaderboards, anthropomorphism, monkey, countdown timer, dualshock 4 support for pc, leveling up, character select screen, polygonal 3d, bow and arrow, pop culture reference, skeletons, game reference, resource gathering, internet culture reference, leaderboard, scorpion, horde, controller support, increasing difficulty, roguelite, egyptian mythology, fruits, retro graphics, unlockable characters, bossfight, bullet heaven, reference to other games, steam deck, action roguelike, boomerang, health, monster, desert, steam families, money, steam timeline, meme, horde survival, cloud saves, dualsense support for pc, upgrades, gold, nextfest february 2025, playable without timed input, stereo sound, camera comfort, surround sound",Vedinad,Third person,Single player
Thousands of Heroes,2025-09-18,,"Role-playing (RPG), Indie","PC (Microsoft Windows), Mac",Action,"roguelike, inventory management",radiuthree,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Evercore Heroes: Ascension,2025-09-18,,"Role-playing (RPG), Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy, Science fiction","roguelike, roguelite",,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Race Jam,2025-09-17,,"Racing, Sport, Arcade",PC (Microsoft Windows),Action,"1990's, controller recommendation, upgradeable vehicles, police chase, controller support, roguelite, stunts, nextfest june 2025",,"First person, Third person","Single player, Multiplayer, Split screen"
ShapeHero Factory,2025-09-17,,"Puzzle, Simulator, Strategy, Indie","PC (Microsoft Windows), PlayStation 5, Mac, Nintendo Switch",,"tower defense, automation, roguelite",Asobism,,Single player
Deep Rock Galactic: Survivor,2025-09-17,72.4,Shooter,"Xbox Series X|S, Android, PC (Microsoft Windows), iOS","Action, Science fiction, Survival","bullet hell, pve, steam trading cards, steam achievements, xbox controller support for pc, steam cloud, controller support, roguelite, bullet heaven, steam deck, steam families, steam remote play","Funday Games, Ghost Ship Publishing",Bird view / Isometric,Single player
Skull8,2025-09-15,,Adventure,PC (Microsoft Windows),Fantasy,"procedurally generated, score attack, dungeon crawler, free-to-play, steam cloud, steam leaderboards, controller support, roguelite, crt filter, playable without timed input",Piuto Games,Bird view / Isometric,Single player
Chemical Combat,2025-09-15,,"Shooter, Strategy, Indie","Linux, PC (Microsoft Windows), Mac","Action, Science fiction","roguelike, procedurally generated, chemistry, dungeon crawler, roguelite",SigmoidDev,Bird view / Isometric,Single player
Piñata Go Boom,2025-09-15,,"Simulator, Strategy, Indie, Arcade","Linux, PC (Microsoft Windows)","Comedy, Business","dungeon crawling, clicker, relaxing, skill tree, idle game, roguelite, incremental game, loot, upgrades, prestige, upgrade tree",tissue inu,Bird view / Isometric,Single player
Watchword,2025-09-15,,"Strategy, Turn-based strategy (TBS), Indie, Card & Board Game","Linux, PC (Microsoft Windows), Mac",Fantasy,"casual, roguelike, permadeath, word game, roguelite, cozy, roguelike deckbuilder, deckbuilder, spelling, nextfest june 2025",Big Quail Games,First person,Single player
Greedland,2025-09-15,,"Shooter, Role-playing (RPG), Adventure, Indie","Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Action, Science fiction","casual, shoot 'em up, roguelike, shmup, bullet hell, mecha, score attack, roguelite","VaMP He, Gamersky Games, E-Home Entertainment, 2P Games",Bird view / Isometric,"Single player, Multiplayer, Co-operative"
RAM: Random Access Mayhem,2025-09-15,,"Shooter, Indie","PC (Microsoft Windows), Mac",Action,roguelike,Xylem Studios,Bird view / Isometric,Single player
Dicey Bugs,2025-09-12,,"Strategy, Turn-based strategy (TBS), Indie","Linux, PC (Microsoft Windows)",Action,"casual, turn-based, roguelike, dice, roguelite, boy x boy romance only, monster tamer, deck-building, turn-based rpg, roguelike deckbuilder, creature collector, deckbuilder, nextfest june 2025",ProdigalSon Games,"Bird view / Isometric, Side view",Single player
Clock Tower Madness,2025-09-11,,"Turn-based strategy (TBS), Indie, Card & Board Game",PC (Microsoft Windows),Action,"roguelite, roguelike deckbuilder, ai-generated coding",agmrk,First person,Single player
Bonelords,2025-09-11,,"Role-playing (RPG), Strategy, Adventure, Indie, Arcade",PC (Microsoft Windows),"Action, Fantasy","knights, wizards, character customization, magic, sword, 2d, insects, resource management, archery, leveling, bird, achievements, pve, traps, wall climbing, building, funny, local co-op, live action, local multiplayer, pixel art, pixel graphics, bugs, combat, base building, giant insects, melee combat, base defense, 2d platformer, boss fight, explosion, steam achievements, xbox controller support for pc, split-screen multiplayer, dualshock 4 support for pc, leveling up, voice acting, shopping, bow and arrow, explosives, gun, full motion video, 4 player co-op, resource gathering, melee, grapple, parrying, multiple enemy boss fights, mana, wavedash, remote play, controller support, roguelite, soulslike, bug, pixel art game, bossfight, full voice acting, food, fmv, bombs, ranged combat, health, jumping, axe, desert, steam families, money, spear, explosive, stamina, steam remote play",Z0 Game Studios,Side view,"Single player, Multiplayer, Co-operative"
ChronoForge,2025-09-10,,"Role-playing (RPG), Adventure","Nintendo Switch 2, PC (Microsoft Windows)","Action, Fantasy, Open world","dungeon crawler, roguelite",MintedLoot Studios,,"Multiplayer, Co-operative, Massively Multiplayer Online (MMO)"
The Bleakest Keep,2025-09-10,,"Shooter, Hack and slash/Beat 'em up, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy, Horror","monsters, knights, bloody, medieval, dark, sword, 3d, roguelike, insects, dark fantasy, archery, shooting, running, witches, achievements, upgrade, atmospheric, bugs, giant insects, castle, melee combat, potions, steam achievements, xbox controller support for pc, steam cloud, throwing weapons, shopping, bow and arrow, upgradeable weapons, gun, sprinting mechanics, ragdoll physics, potion, melee, games with gold, controller support, bug, adult protagonist, dark ambient, coins, ranged combat, action roguelike, health, monster, moon, graveyard, steam families, money, cloud saves, upgrades, gold, dynamic weather, nextfest june 2025, shotgun, stamina",Cache of Bones,Third person,Single player
Machick 2,2025-09-10,,"Puzzle, Role-playing (RPG), Indie",PC (Microsoft Windows),"Action, Fantasy",roguelike,"Nuntius Games, Vsoo Games, DeadPixel",Bird view / Isometric,Single player
Katanaut,2025-09-10,,"Role-playing (RPG), Simulator, Sport, Hack and slash/Beat 'em up, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy, Horror, Mystery","zombies, post-apocalyptic, exploration, cyberpunk, violence, bloody, space station, dark, skill-based, 2d, roguelike, metroidvania, fast paced, dark fantasy, procedural generation, memory loss, time manipulation, difficult, pixelated, mutants, upgrade, atmospheric, pixel graphics, combat, pixels, procedurally generated, melee combat, cosmic horror, challenging gameplay, exploration driven, violent, synthwave, guns and bullets, horde, branching paths, roguelite, soulslike, challenging, action combat, eldritch horror, roguelike horror, weapons, neon, science-fantasy, skill system, time, skill based game, upgrades",Voidmaw,Side view,Single player
Shape of Dreams,2025-09-10,79.9,"Strategy, Tactical, Hack and slash/Beat 'em up, Adventure, Indie, MOBA",PC (Microsoft Windows),"Action, Fantasy","exploration, monsters, character customization, 3d, skill-based, roguelike, artifacts, squad based, fast paced, procedural generation, difficult, real-time, pve, upgrade, demo, atmospheric, surreal, combat, ability system, procedurally generated, dreams, team-based, dream world, challenging gameplay, colorful, boss fight, anthropomorphism, challenges, customization, non-humanoid protagonist, 4 player co-op, difficulty level, shaky camera, squad, skillshot, fate, memories, teamwork, roguelite, meta, challenging, action combat, free demo, modification, replayability, customize, solo mode, dreamcore, prologue, synergies, bosses, chaos, vibrant, dreamlike, replay value, high fantasy, science-fantasy, skill system, hidden secrets, skill based game, upgrades","Neowiz, Lizard Smoothie",Bird view / Isometric,"Single player, Multiplayer, Co-operative"
9th Sentinel Sisters,2025-09-10,,Indie,PC (Microsoft Windows),Action,"anime, mech, female protagonist, roguelite",Live Wire,Bird view / Isometric,Single player
Lootplot,2025-09-09,,"Strategy, Indie","Linux, PC (Microsoft Windows)",,"cats, pixel graphics, roguelite, synergies",,,Single player
Trainatic,2025-09-08,,"Strategy, Adventure, Indie",PC (Microsoft Windows),,"rail shooter, casual, retro, destruction, 2d, experimental, procedural generation, resource management, trains, management, forest, achievements, on-rails, abstract, upgrade, pixel art, pixel graphics, procedurally generated, clicker, relaxing, upgradable equipment, colorful, industrial, steam achievements, xbox controller support for pc, steam cloud, bullet, dualshock 4 support for pc, upgradeable weapons, gun, armor, resource gathering, fuel management, destructible environment, skill tree, guns and bullets, upgradeable vehicles, railroad simulation, controller support, roguelite, incremental game, pixel art game, idle shooter, idler, rails, idle, health, steam families, cloud saves, dualsense support for pc, quest, upgrades, prestige, nextfest june 2025",Ryan Forrester,Side view,Single player
Evoscape,2025-09-08,,Indie,PC (Microsoft Windows),Action,roguelike,,Bird view / Isometric,Single player
Star Fire: Eternal Cycle,2025-09-08,,"Fighting, Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie, Arcade","Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Action, Science fiction","roguelike, roguelite, sidescroller",,Side view,Single player
Archive: Zero,2025-09-07,,"Shooter, Indie",PC (Microsoft Windows),"Action, Science fiction","roguelike, bullet hell",TeamRedy,Bird view / Isometric,Single player
The Final Flame,2025-09-01,,"Role-playing (RPG), Hack and slash/Beat 'em up, Indie",PC (Microsoft Windows),"Action, Fantasy","roguelite, vtuber, anime-based playable characters, action roguelike, action-rpg",,Bird view / Isometric,Single player
Overlooting,2025-09-01,,"Role-playing (RPG), Strategy, Adventure",PC (Microsoft Windows),Fantasy,"pixel graphics, inventory management, roguelite",Posing Possums,Side view,Single player
Rogue Labyrinth,2025-09-01,,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie","Linux, PC (Microsoft Windows), Mac",Action,"roguelike, narrative-driven, roguelite",Tea Witch Games,Bird view / Isometric,Single player
Chark,2025-08-30,,"Strategy, Turn-based strategy (TBS), Indie, Arcade, Card & Board Game","Web browser, PC (Microsoft Windows)",Action,"chess, roguelike",protzz,,Single player
Nex-Ara,2025-08-30,,"Strategy, Indie","PC (Microsoft Windows), Mac",Science fiction,"roguelike, spaceship, space, pixel art, pixel graphics",Taboozie,,Single player
Dimwood,2025-08-30,,"Puzzle, Strategy, Indie, Card & Board Game","Web browser, PC (Microsoft Windows)",Fantasy,"roguelike, monochrome, pixel art, pixel graphics, controller support, roguelite, deck-building, minimalist, deckbuilder, 1bit, nextfest june 2025",Inkspun,First person,Single player
Remains,2025-08-29,,Adventure,PC (Microsoft Windows),Action,"post-apocalyptic, exploration, casual, 2d, roguelike, procedural generation, permadeath, action-adventure, pixel graphics, free-to-play, 2d platformer, violent, single-player only, rpg elements, indie developer, loot",,Side view,Single player
Slay or Fall,2025-08-28,,"Point-and-click, Puzzle, Simulator, Indie, Visual Novel",PC (Microsoft Windows),Fantasy,"casual, dark, 2d, roguelike, dark fantasy, management",Ostsergey,"Bird view / Isometric, Text",Single player
Rootin' Tootin' Lootin' & Shootin',2025-08-28,,"Strategy, Turn-based strategy (TBS), Indie","PC (Microsoft Windows), Mac","Action, Historical","western, roguelike",Raspberry Jam,Bird view / Isometric,Single player
From Rust To Ash,2025-08-26,,Strategy,"Web browser, Linux, PC (Microsoft Windows), Mac",Science fiction,"roguelike, autobattler",LokiStriker,Side view,Single player
Midnight at Grimmi's,2025-08-26,,"Strategy, Indie",PC (Microsoft Windows),Action,"roguelike, bullet hell, hand-drawn",José Rosales,Bird view / Isometric,Single player
Kill the Brickman,2025-08-21,,"Strategy, Turn-based strategy (TBS), Indie","Xbox Series X|S, PC (Microsoft Windows)",Action,"casual, roguelike, pixel art, brick breaker, roguelike deckbuilder","Poncle, Doonutsaur",,Single player
Funguys Swarm,2025-08-21,,"Strategy, Adventure, Indie","Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Action, Survival","bullet hell, pve, increasing difficulty, roguelite",Stairway Games,Bird view / Isometric,Single player
Knightica,2025-08-21,,"Fighting, Strategy, Turn-based strategy (TBS), Tactical, Indie, Arcade","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Action, Fantasy","roguelike, inventory management, auto battler, autobattler","Goblinz Publishing, Mad Mango Games, WR game",Bird view / Isometric,Single player
Bossfight Tactics,2025-08-20,,"Strategy, Turn-based strategy (TBS), Tactical, Indie",PC (Microsoft Windows),"Fantasy, Survival","roguelike, cute, turn-based tactics, pixel art, tactical turn-based combat",Iterative Interactive,Side view,Single player
Xd1,2025-08-20,,"Platform, Adventure, Indie",PC (Microsoft Windows),"Action, Comedy",roguelike,,Side view,Single player
The Rogue Prince of Persia,2025-08-20,80.1,"Platform, Hack and slash/Beat 'em up, Adventure","Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Action, Fantasy, Historical","roguelike, wall jump, upgradable equipment, bow and arrow, wall run, roguelike platform, rougelite, action roguelike","Ubisoft Entertainment, Evil Empire",Side view,Single player
Bokyaku Zenya,2025-08-19,,"Fighting, Role-playing (RPG), Card & Board Game","Android, PC (Microsoft Windows), iOS","Fantasy, Drama","roguelike, dark fantasy, turn-based rpg, card battler","AltPlus, BI.A.V. Studio","Side view, Text","Single player, Multiplayer"
Void/Breaker,2025-08-19,,"Shooter, Role-playing (RPG), Simulator, Sport, Adventure, Indie","Xbox Series X|S, PC (Microsoft Windows), PlayStation 5",Action,"roguelike, nextfest june 2025","Stubby Games, Playstack",First person,Single player
Stick It to the Stickman,2025-08-18,,"Fighting, Platform, Adventure, Indie","Linux, PC (Microsoft Windows)","Action, Comedy","brawler, roguelite, stick figures, physics-based brawler","Free Lives, Devolver Digital",Side view,"Single player, Multiplayer, Co-operative"
Instant Anastasia,2025-08-16,,Indie,PC (Microsoft Windows),"Action, Horror","roguelite, steam families",727 Not Hound,First person,Single player
Slime Match Adventure,2025-08-15,,"Puzzle, Adventure, Indie","Linux, PC (Microsoft Windows)",Fantasy,"match 3, steam cloud, roguelite, free demo, accessibility options, ai-generated artwork, color alternatives, playable without timed input, mouse only option, custom volume controls",SlothSoft Games,,Single player
Spellcast,2025-08-15,,"Strategy, Card & Board Game",PC (Microsoft Windows),Fantasy,"roguelike, word game, turn-based combat, roguelite, deckbuilder, anagrams, spelling",,,Single player
Beneath The Six,2025-08-14,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Adventure","PC (Microsoft Windows), Mac","Action, Fantasy","turn-based, roguelike, procedural generation, dice, hexagon, in-app purchases, hexagon tiles, hex grid, ai-generated voices",Magicave,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Bird Like,2025-08-14,,"Racing, Strategy, Adventure, Indie",PC (Microsoft Windows),Action,"3d, roguelike, flight",SoftPower,Third person,Single player
Inkshade,2025-08-14,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Adventure, Indie",PC (Microsoft Windows),"Horror, Mystery","turn-based tactics, creepy, roguelite, nextfest june 2025",Studio Vezelle,"First person, Bird view / Isometric",Single player
Ovis Loop,2025-08-14,,"Platform, Hack and slash/Beat 'em up, Indie",PC (Microsoft Windows),"Action, Science fiction","2d, roguelike, side-scrolling, pixel graphics, sidescroller, 2d-side-scroller",LIFUEL,Side view,Single player
Metavoidal,2025-08-13,,"Music, Role-playing (RPG), Hack and slash/Beat 'em up, Indie","Xbox Series X|S, PC (Microsoft Windows), Mac","Action, Horror, Comedy, Mystery","zombies, 2d, gothic, old school, brawler, stylized, lovecraftian, pve, atmospheric, pixel art, heavy metal, dungeon crawler, great soundtrack, metagame, controller support, roguelite","Yellow Lab Games, Yellow Lab Games",Bird view / Isometric,Single player
Maid Survivors: Little Angels,2025-08-12,,Indie,PC (Microsoft Windows),Action,"roguelike, roguelite, anime-based playable characters, suvivorslike",MilkEmpire,,Single player
Mirror Throne: Auto Battler,2025-08-12,,"Strategy, Indie",PC (Microsoft Windows),Fantasy,"casual, procedural generation, bards, jester, roguelite, synergies, autobattler, harpoon, nextfest june 2025",Cottage Street Interactive,Side view,"Single player, Multiplayer"
Abyssus,2025-08-12,79.6,"Shooter, Adventure, Indie",PC (Microsoft Windows),Action,"pve, roguelite, online coop","DoubleMoose Games, The Arcade Crew",First person,"Single player, Multiplayer, Co-operative"
Neon Spellstorm,2025-08-11,,"Role-playing (RPG), Hack and slash/Beat 'em up, Indie","Linux, PC (Microsoft Windows), Mac","Action, Fantasy","roguelite, bullet heaven, action roguelike",TopCog,Bird view / Isometric,Single player
Passant: A Chess Roguelike,2025-08-11,,"Strategy, Turn-based strategy (TBS), Indie",PC (Microsoft Windows),,"casual, 3d, chess, roguelike, pve, turn-based tactics, tabletop, deck-building, logic",Marc Makes Games,,Single player
Deadzone: Rogue,2025-08-11,68.6,Shooter,"Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5","Action, Science fiction, Thriller","roguelike, roguelite, action roguelike",Prophecy Games,First person,"Single player, Multiplayer, Co-operative"
Maze Estate Escape,2025-08-09,,"Indie, Arcade",PC (Microsoft Windows),Action,"pixel graphics, roguelite, collectathon",Gibbous Pig Games,,"Single player, Multiplayer, Co-operative, Split screen"
Rogue Hex,2025-08-09,,"Simulator, Strategy, Turn-based strategy (TBS), Indie, Card & Board Game","Linux, PC (Microsoft Windows)","Historical, 4X (explore, expand, exploit, and exterminate)","roguelike, steam trading cards, steam achievements, steam cloud, roguelite, deck-building, steam deck, ai-generated artwork, steam families",Topstitch Games,Bird view / Isometric,Single player
Noir Lords,2025-08-08,,"Strategy, Turn-based strategy (TBS), Indie",PC (Microsoft Windows),,"casual, roguelite, roguelike deckbuilder, ai-generated artwork, ai-generated voices, card battler, ai-generated text, ai-generated marketing",,First person,Single player
Drop Pockets,2025-08-08,,"Sport, Strategy, Indie","Linux, PC (Microsoft Windows)",,"pool, roguelike, billiards",,,Single player
CleanFall,2025-08-08,,Strategy,PC (Microsoft Windows),"Action, Horror, Survival, Open world","tower defense, roguelike",,Side view,Single player
The Royal Writ,2025-08-07,,"Strategy, Card & Board Game",PC (Microsoft Windows),Fantasy,"roguelike, roguelike deckbuilder, deckbuilder, nextfest june 2025, medieval fantasy","Yogscast Games, Save Sloth Studios",,Single player
Bang Bang Barrage,2025-08-07,,"Shooter, Adventure, Indie, Arcade","PC (Microsoft Windows), Mac","Action, Survival, Comedy","roguelike, cute, local co-op, fastpace",Spiral Up Games,,"Single player, Multiplayer, Co-operative"
Paper Animal Adventure,2025-08-07,,"Role-playing (RPG), Tactical, Adventure, Indie","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch",Fantasy,"exploration, roguelike, grid-based movement, dungeon crawler, crowdfunding - kickstarter, family friendly, controller support","Cuddling Raccoons Studio, Top Hat Studios",Bird view / Isometric,Single player
Beasts of Fortune,2025-08-06,,"Strategy, Indie",PC (Microsoft Windows),"Fantasy, Open world","roguelike, procedural generation, auto battler",Iron Boar Labs,Bird view / Isometric,Single player
Gigantes Ex Machina,2025-08-05,,"Shooter, Simulator, Indie",PC (Microsoft Windows),"Action, Science fiction","anime, mecha, xbox controller support for pc, roguelite, ai-generated artwork",AcrylByte,Bird view / Isometric,Single player
Metamancer,2025-08-04,,Role-playing (RPG),PC (Microsoft Windows),Action,"character customization, roguelike, procedural generation, unique art style, controller support, multiple factions",Colter Grant Robinson,Bird view / Isometric,Single player
Cursed by Feedback,2025-08-03,,Indie,Web browser,"Action, Comedy","pixel graphics, game jam, roguelite, gmtk game jam 2025",Dhansugui,Bird view / Isometric,Single player
Draftula,2025-08-03,,"Puzzle, Strategy, Indie","Web browser, PC (Microsoft Windows)",,"game jam, castle, roguelite, gmtk game jam 2025",Joespacio,Side view,Single player
Bootloop,2025-08-03,,"Indie, Arcade","Web browser, PC (Microsoft Windows)",Action,"roguelike, game jam, loops, gmtk game jam 2025",Cruise Elroy,Bird view / Isometric,Single player
Blackrock,2025-08-01,,"Real Time Strategy (RTS), Strategy, Hack and slash/Beat 'em up, Arcade",PC (Microsoft Windows),"Action, Warfare","tower defense, 2d, roguelike",Cavedwarf Studios,Bird view / Isometric,Single player
Harem of Gods,2025-08-01,,"Shooter, Role-playing (RPG), Indie",PC (Microsoft Windows),"Action, Fantasy, Survival, Erotic","anime, casual, 2d, roguelike, dark fantasy, bullet hell, nudity, nsfw, sexual content, steam achievements, roguelite, male protagonist, adult content, action roguelike",Sweet Cakes Games,Bird view / Isometric,Single player
Gatekeeper,2025-08-01,,"Shooter, Adventure, Indie",PC (Microsoft Windows),Action,"bullet hell, multiple endings, pve, roguelite, online coop","Gravity Lagoon, HypeTrain Digital","Third person, Bird view / Isometric","Single player, Multiplayer, Co-operative"
Panta Rhei,2025-07-31,,"Adventure, Indie","Linux, PC (Microsoft Windows), Mac","Action, Fantasy","time travel, 3d, roguelike, melee combat, timer, roguelite",reignite games,Third person,Single player
Fox XII,2025-07-30,,"Shooter, Role-playing (RPG), Adventure, Indie",PC (Microsoft Windows),Action,"casual, roguelike, procedural generation, arpg",Corn Kernel,"Third person, Bird view / Isometric",Single player
Hex Blast,2025-07-30,,"Strategy, Turn-based strategy (TBS)",PC (Microsoft Windows),,"turn-based, roguelike, steam cloud, deck-building, roguelike deckbuilder, hex grid, deckbuilder, nextfest june 2025",Soy Boy Games,,Single player
Achilles: Survivor,2025-07-28,,"Fighting, Hack and slash/Beat 'em up, Adventure, Indie","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Action, Historical, Warfare","roguelike, bullet hell, mythology, steam trading cards, steam achievements, xbox controller support for pc, steam cloud, controller support, bullet heaven, steam deck, steam families, available on - blacknut",Dark Point Games,Bird view / Isometric,Single player
Rogumon,2025-07-25,,"Role-playing (RPG), Indie","Linux, PC (Microsoft Windows), Mac",Fantasy,"procedural generation, multiple endings, turn-based combat, steam cloud, roguelite, afterlife, creature collector, nextfest june 2025",,Side view,Single player
Prison Escape Simulator: Dig Out,2025-07-25,,"Simulator, Adventure, Indie","PC (Microsoft Windows), PlayStation 5, Mac",Action,"helicopter, life simulation, basketball, cars, 3d, physics, police, voxel, resource management, slot machine, exercise, gambling, driving, management, trading, achievements, time limit, upgrade, crime, drifting, climbing, realistic, day/night cycle, inventory management, upgradable equipment, navigation, time management, explosion, steam achievements, timer, xbox controller support for pc, dualshock 4 support for pc, explosives, resource gathering, vending machine interaction, invisible wall, sleeping, escaping imprisonment, negotiation, soft reset, controller support, vehicles, roguelite, escape game, islands, underground, ai-generated artwork, food, bombs, coins, decorate, digging, buy and sell, lighthouse, sewer, immersive sim, dirt, steam families, money, imprisoned, time, dualsense support for pc, quest, upgrades, letters, decorating, explosive, cave, stamina, prison","Digital Melody, PlayWay S.A.",First person,Single player
Pip My Dice,2025-07-25,,"Strategy, Indie, Card & Board Game","Linux, PC (Microsoft Windows)",,"roguelike, dice, score attack, steam achievements, steam cloud, steam leaderboards, highscore, dice game, steam families",,,Single player
Secret Seeker,2025-07-23,,Adventure,PC (Microsoft Windows),"Action, Horror","steam cloud, steam leaderboards, roguelite, ai-generated voices, ai-generated text, ai-generated marketing, nextfest june 2025",Radikate,First person,Single player
Gotchi Guardians,2025-07-22,,"Real Time Strategy (RTS), Strategy, Tactical, Indie, MOBA","Web browser, PC (Microsoft Windows), Mac","Action, Fantasy, Survival","tower defense, roguelike, blockchain, crypto, nft",Pixelcraft Studios,"Third person, Bird view / Isometric","Single player, Multiplayer, Battle Royale"
RogueCraft,2025-07-22,,"Strategy, Indie",PC (Microsoft Windows),"Action, Fantasy","tower defense, pixel graphics, roguelite, replay value, merge game, ai-generated translations",CraftCoreGames,Bird view / Isometric,Single player
Hell Clock,2025-07-22,86.7,"Role-playing (RPG), Indie","Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Action, Fantasy","roguelike, dungeon crawling, based on - true story, arpg, nextfest june 2025","Rogue Snail, Mad Mushroom Publishing",Bird view / Isometric,Single player
Steve's Warehouse: Physics. Roguelike. Chaos.,2025-07-22,,"Strategy, Indie",PC (Microsoft Windows),,"physics, roguelike, deck-building, roguelike deckbuilder",,,Single player
